DATE,REAL_SALES
2016-12-01,534312.5076
2017-01-01,535367.9284
2017-02-01,533564.3369
2017-03-01,532240.6678
2017-04-01,532897.7413
2017-05-01,529426.5073
2017-06-01,531502.9851
2017-07-01,532059.0413
2017-08-01,531054.0349
2017-09-01,540162.5493
2017-10-01,540890.9189
2017-11-01,546614.1774
2017-12-01,549744.6789
2018-01-01,543872.5739
2018-02-01,544734.9625
2018-03-01,542411.8633
2018-04-01,543040.6495
2018-05-01,547123.1838
2018-06-01,543361.7091
2018-07-01,546132.5191
2018-08-01,545103.6226
2018-09-01,543778.325
2018-10-01,549057.8546
2018-11-01,553289.435
2018-12-01,542321.3488
2019-01-01,545324.0254
2019-02-01,543509.9483
2019-03-01,549612.8824
2019-04-01,546896.7049
2019-05-01,549021.5925
2019-06-01,548771.8521
2019-07-01,552503.4717
2019-08-01,556019.3741
2019-09-01,550891.7227
2019-10-01,551014.618
2019-11-01,555228.3372
2019-12-01,556544.5475
2020-01-01,553383.662
2020-02-01,551848.2203
2020-03-01,520085.7751
2020-04-01,459811.7267
2020-05-01,541301.9261
2020-06-01,574857.0123
2020-07-01,579574.9995
2020-08-01,580312.7724
2020-09-01,590492.7018
2020-10-01,588228.5859
2020-11-01,585681.7425
2020-12-01,595032.594
2021-01-01,611834.7973
2021-02-01,592457.7849
2021-03-01,650595.0269
2021-04-01,649340.296
2021-05-01,633566.6393
2021-06-01,631653.2405
2021-07-01,616168.7375
2021-08-01,619840.9962
2021-09-01,622250.9362
2021-10-01,628195.7634
2021-11-01,632616.5198
2021-12-01,626161.039
2022-01-01,635595.4555
2022-02-01,633462.8482
2022-03-01,637413.203
2022-04-01,640613.4826
2022-05-01,630569.3493
2022-06-01,626329.7566
2022-07-01,621842.1138
2022-08-01,624119.784
2022-09-01,620574.7206
2022-10-01,625356.5852
2022-11-01,618077.8275
2022-12-01,613068.0621
2023-01-01,630941.2298
2023-02-01,622009.6221
2023-03-01,612011.2019
2023-04-01,613421.751
2023-05-01,613655.8509
2023-06-01,613031.903
2023-07-01,613158.055
2023-08-01,615197.4375
2023-09-01,618161.9552
2023-10-01,616659.6506
2023-11-01,617333.3563
2023-12-01,620695.1485
2024-01-01,610427.0079
2024-02-01,611508.786
2024-03-01,610926.0187
2024-04-01,606958.6766
2024-05-01,607497.4178
2024-06-01,605277.47
2024-07-01,612399.9446
2024-08-01,612307.3067
